Eye_Status,left_eye,right_eye,Yawn_Status,Head_Pose,Class
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Left Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Right Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,Yawn,Down_Look,Non Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
Fully Opened,forward_look,forward_look,No Yawn,Forward Look,Focus
